البرنامجالأكاديمي;Academic Program;ACAPRO
الإنتاجالنباتي;Plant Production;PLAPRO
وقايةنبات;Plant Protection;PLAPRO1
العلومالسياسية;Political Science;POLSCI
برنامجتحضيري;Preparatory Program;PREPRO
تمهيديكليةالمجتمع;Preliminary Community College;PRECOMCOL
صيدلةعام;Precision Year;PREYEA
إعدادالعلومالطبيعية;Preparation of Natural Sciences;PRENATSCI
إعدادعام;In Preparation;INPRE
سنةتحضيرية;Preparatory Year;PREYEA1
السنةتحضيرية;Preparatory Year;PREYEA1
الصحافةوالإعلام;Press And Media;PREANDMED
علومطبالأسنانالوقائي;Preventive Dental Sciences;PREDENSCI
التعليمالإبتدائي;Primary Education;PRIEDU
تعليمإبتدائي;Primary Education;PRIEDU
تقنيةالبرمجةوقواعدالبيانات;Programming And Database Technology;PROANDDATTEC
المحاسبةالمهنية;Professional Accounting;PROACC
إدارةمشاريع;Project Management;PROMAN
علمالنفس;Psychology;PSY
تحضيريمعاهدعلمية;Preparatory Scientific Institutes;PRESCIINS
الطبالنفسي;Psychiatry;PSY1
عام;Public;PUB
الصحةالعامة;Public Health;PUBHEA
القانونالعام;Public Law;PUBLAW
أصولالتربيةالإسلاميةالعامة;Public Assets of Islamic Education;PUBASSISLEDU
العلاقاتالعامة;Public Relations;PUBREL
علاقاتعامة;Public Relations;PUBREL
السنةالتحضيرية;Py;PY
السنةالتحضيرية-بالليث;Preparatory Year - Ballit;PREYEABAL
السنةالتحضيريةـصيدلةسريرية;Preparatory Year Clinical Pharmacy;PREYEACLIPHA
سنةتحضيريةعلومالحاسبوتقنيةالمعلومات;Preparatory Year of Computer Science And Information Technology;PREYEACOMSCIANDINFTEC
السنةالتحضيرية-الكلياتالهندسيةوالعلمية;Preparatory Year - Engineering And Science Colleges;PREYEAENGANDSCICOL
السنةالتحضيرية-مسارالهندسةوالحاسبالآليبالقنفذة;Preparatory Year - Engineering And Computer Jouf Path;PREYEAENGANDCOMJOUPAT
السنةالتحضيريةآداب;Preparatory Year Etiquette;PREYEAETI
السنةالتحضيريةلكليةالعلومالاداريةوالسياحة;Preparatory Year of the Faculty of Administrative Sciences And Tourism;PREYEAFACADMSCIANDTOU
السنةالتحضيرية-الكلياتالصحية;Preparatory Year - Health Colleges;PREYEAHEACOL
السنةالتحضيرية-الكلياتالإنسانية;Preparatory Year - Humanitarian Colleges;PREYEAHUMCOL
السنةالتحضيريةبشمالجدة;Py Northern Jeddah;PYNORJED
برنامجالسنةالتحضيرية;Preparatory Year Program;PREYEAPRO
السنةالتحضيرية-مسارالكلياتالعلمية;Preparatory Year - the Path of Scientific Colleges;PREYEAPATSCICOL
السنةالتحضيريةللكلياتالعلمية;Py Science Faculties;PYSCIFAC
السنةالتحضيرية-مسارالكلياتالطبية;Preparatory Year - Track Medical Colleges;PREYEATRAMEDCOL
السنةالتحضيرية-مسارالكلياتالطبيةبالقنفذة;Preparatory Year - Track Medical Colleges Jouf;PREYEATRAMEDCOLJOU
التحليلالكمي;Quantitative Analysis;QUAANA
القرآنوعلومه;Quran And Its Sciences;QURANDITSSCI
الكتابوالسنة;Quran And Sunnah;QURANDSUN
الدراساتالقرآنية;Quranic Studies;QURSTU
طبالأشعة;Radiology;RAD
الأشعةوعلومالتصوير;Radiology And Imaging Sciences;RADANDIMASCI
العلومالإشعاعية;Radiological Sciences;RADSCI
القراءات;Readings;REA
أصولالدين;Religion Basics;RELBAS
العلاجالتنفسي;Respiratory Therapy;RESTHE
علومإصلاحالأسنان;Restorative Dental Sciences;RESDENSCI
البلاغةوالنقد;Rhetoric And Criticism;RHEANDCRI
البلاغةوالنقدومنهجالأدبالإسلامي;Rhetoric And Criticism And the Methodology of Islamic Literature;RHEANDCRIANDMETISLLIT
حقوق;Rights;RIG
الحقوق;Rights;RIG
الصفوفالإولية;Initial Rows;INIROW
تقنيةالسلامة;Safety Technology;SAFTEC
إدارةالمبيعات;Sales Administration;SALADM
العلومالإدرارية;Science Aladrarah;SCIALA
العلومفيالهندسةالمدنية;Science In Civil Engineering;SCIINCIVENG
العلومفيالهندسةالكهربائية;Science In Electrical Engineering;SCIINELEENG
برنامجالعلوموالهندسة;Science And Engineering Program;SCIANDENGPRO
علوموإدارةمواردالمياه;Science And Management of Water Resources;SCIANDMANWATRES
البرامجالعلمية;Scientific Programs;SCIPRO
برنامجالعلومفيالعلومالبيئية;Science Program In Environmental Sciences;SCIPROINENVSCI
المسارالعلمي;Scientific Track;SCITRA
السكرتارية;Secretarial;SEC
تقنيةالخياطةوالتفصيل;Sewing Technique And Detail;SEWTECANDDET
الشريعة;Sharia;SHA
الشريعةوالدراساتالإسلامية;Sharia And Islamic Studies;SHAANDISLSTU
علمالأجتماع;Sociology;SOC
العلومالاجتماعية;Social Science;SOCSCI
الخدمةالاجتماعية;Social Service;SOCSER
البرامج;Software;SOF
هندسةبرمجيات;Software Engineering;SOFENG
هندسةالبرمجيات;Software Engineering;SOFENG
علومالتربة;Soil Science;SOISCI
الاجتماعوالخدمةالاجتماعية;Sociology And Social Service;SOCANDSOCSER
علمالجتماعوالخدمةالاجتماعية;Sociology And Social Work;SOCANDSOCWOR
الدراساتالاجتماعية;Social Studies;SOCSTU
مصادرتعلم;Sources Learn;SOULEA
تربيةخاصة;Special Breeding;SPEBRE
التربيةالخاصة;Special Education;SPEEDU
علومالنطقواللغةوالسمع;Speech-language And Hearing Sciences;SPELANANDHEASCI
الادارةالرياضية;Sports Management;SPOMAN
الإدارةالرياضية;Sports Management;SPOMAN
تقنيةخاصة;Special Technology;SPETEC
الدراساتالعلياالعربية;Studies Arab Higher;STUARAHIG
الإحصاء;Statistics;STA
الإحصاءوبحوثالعمليات;Statistics And Operations Research;STAANDOPERES
البرنامجالتكميليلبكالوريوسالتمريض;Supplementary Program For the Bachelor of Nursing;SUPPROFORBACNUR
الجراحة;Surgery;SUR
الأنظمة;Systems;SYS
هندسةالنظم;Systems Engineering;SYSENG
تعليماللغةالعربية;Teach Arabic;TEAARA
إعدادالمعلمين;Teacher Preparation;TEAPRE
تدريبالمعلمين;Teacher Training;TEATRA
تقنيةالهندسةالكهربائيةوالإلكترونية;Technology Electrical And Electronic Engineering;TECELEANDELEENG
التقنيةالخاصة;Technical;TEC
تقنيةالهندسةالكيميائية;Technology Chemical Engineering;TECCHEENG
تقنيةوإدارةالمعلوماتالصحية;Technology And Health Information Management;TECANDHEAINFMAN
تقنيةمختبرات;Technology Labs;TECLAB
تقنيةالهندسةالميكانيكيةوالتصنيع;Technology Mechanical Engineering And Manufacturing;TECMECENGANDMAN
فنيسكرتاريةطبية;Technician Medical Secretary;TECMEDSEC
التشريحالتقنيوالأنسجة;Technical And Tissue Anatomy;TECANDTISANA
تقنيةوإدارةمكاتب;Technology And Management Offices;TECANDMANOFF
الأنسجةالمحيطةبالأسنانوصحةأسنانالمجتمع;Tissue Surrounding the Teeth And Dental Health Community;TISSURTEEANDDENHEACOM
جملة;Total;TOT
السياحةوالآثار;Tourism And Antiquities;TOUANDANT
السياحةوالفندقة;Tourism And Hospitality;TOUANDHOS
تقنيةالسياحةوالفندقة;Tourism And Hospitality Technology;TOUANDHOSTEC
مركزالدوراتالتدريبية;Training Center;TRACEN
الترجمة;Translation;TRA
أمناءمصادرالتعليم;Trustees of the Educational Resources;TRUEDURES
البرنامجالموحدللكليةالصحية;Unified Health Program For the College;UNIHEAPROFORCOL
البرنامجالموحدللكلياتالهندسيةوالعلمية;Unified Program For Colleges of Engineering And Scientific;UNIPROFORCOLENGANDSCI
غيرمحدد;Unlimited;UNL
التخطيطالعمراني;Urban Planning;URBPLA
التخطيطالحضريوالإقليمي;Urban And Regional Planning;URBANDREGPLA
الطبالبيطري;Veterinary Medicine;VETMED
الصحةالعامةالبيطريةورعايةالحيوان;Veterinary Public Health And Animal Welfare;VETPUBHEAANDANIWEL
الإنتاجالمرئيوالرقمي;Visual And Digital Production;VISANDDIGPRO
تقنيةالتزيينالنسائي;Women Decking Technology;WOMDECTEC
الأشعة;X;X
السنةالتأهيليةالمسائية-اللغةالعربية;Year Rehabilitative Evening - Arabic Language;YEAREHEVEARALAN
السنةالتأهيليةالمسائيةاللغةالعربيةطالبات;Year Rehabilitative Evening Arabic Language Students;YEAREHEVEARALANSTU
السنةالتأهيليةالمسائيةالعلومالتطبيقيةطالبات;Year Rehabilitative Evening Applied Science Students;YEAREHEVEAPPSCISTU
السنةالتأهيليةالمسائية-الدعوةوأصولالدين;Year Rehabilitative Evening - Dawa And Fundamentals of Religion;YEAREHEVEDAWANDFUNREL
السنةالتأهيليةالمسائية-التربيةبمكةالمكرمة;Year Rehabilitative Evening - Education In Makkah;YEAREHEVEEDUINMAK
السنةالتأهيليةالمسائية-الكليةالجامعيةبالقنفذةـطلاب;Evening-year Qualifying University Jouf College Students;EVEYEAQUAUNIJOUCOLSTU
السنةالتأهيليةالمسائية-الشريعة;Year Rehabilitative Evening - Sharia;YEAREHEVESHA
السنةالتأهيليةالمسائية-العلومالاجتماعية;Year Rehabilitative Evening - Social Sciences;YEAREHEVESOCSCI
سنةتحضيريةماليةوإدارية;Year Preparatory Financial And Administrative;YEAPREFINANDADM
سنةتحضيريةعلومطبية;Year Preparatory Medical Sciences;YEAPREMEDSCI
السنةوعلومها;Year And Sciences;YEAANDSCI
علمالحيوان;Zoology;ZOO
