المجتمعبأبيعريش;Abu Arish Community;ABUARICOM
المجتمعللبناتبخميسمشيط;Society For Girls In Khamis Mushayt;SOCFORGIRINKHAMUS
المجتمعبمكةالمكرمة;Society In Makkah;SOCINMAK
علومالرياضةوالنشاطالبدني;Sport And Physical Activity Sciences;SPOANDPHYACTSCI
الكليةالتقنيةبالدوادمي;Technical College Aldawadmi;TECCOLALD
الكليةالتقنيةبالنماص;Technical College Balnmas;TECCOLBAL
الكليةالتقنيةبعنيزة;Technical College Bnizp;TECCOLBNI
الكليةالتقنيةببيشة;Technical College Bouaphh;TECCOLBOU
الكليةالتقنيةللبناتبالأحساء;Technical College For Girls Ahsa;TECCOLFORGIRAHS
الكليةالتقنيةللبناتبالرس;Technical College For Girls Buraidah;TECCOLFORGIRBUR
الكليةالتقنيةللبناتبحفرالباطن;Technical College For Girls Hafr Al-batin;TECCOLFORGIRHAFALBAT
الكليةالتقنيةللبناتبالباحة;Technical College For Girls In Al-baha;TECCOLFORGIRINALBAH
الكليةالتقنيةللبناتبالجوف;Technical College For Girls In Al-jouf;TECCOLFORGIRINALJOU
الكليةالتقنيةللبناتبالخرج;Technical College For Girls In Al-kharj;TECCOLFORGIRINALKHA
الكليةالتقنيةللبناتبعرعر;Technical College For Girls In Arar;TECCOLFORGIRINARA
الكليةالتقنيةللبناتببريدة;Technical College For Girls In Buraidah;TECCOLFORGIRINBUR
الكليةالتقنيةللبناتبالدوادمي;Technical College For Girls In Dawadmi;TECCOLFORGIRINDAW
الكليةالتقنيةللبناتبحائل;Technical College For Girls In Hail;TECCOLFORGIRINHAI
الكليةالتقنيةللبناتبجدة;Technical College For Girls In Jeddah;TECCOLFORGIRINJED
الكليةالتقنيةللبناتبجازان;Technical College For Girls In Jizan;TECCOLFORGIRINJIZ
الكليةالتقنيةللبناتبخميسمشيط;Technical College For Girls In Khamis Mushayt;TECCOLFORGIRINKHAMUS
الكليةالتقنيةللبناتبالمدينةالمنورة;Technical College For Girls In Medina;TECCOLFORGIRINMED
الكليةالتقنيةللبناتبنجران;Technical College For Girls In Najran;TECCOLFORGIRINNAJ
الكليةالتقنيةللبناتبالرياض;Technical College For Girls In Riyadh;TECCOLFORGIRINRIY
الكليةالتقنيةللبناتبتبوك;Technical College For Girls In Tabuk;TECCOLFORGIRINTAB
الكليةالتقنيةللبناتبالطائف;Technical College For Girls In Taif;TECCOLFORGIRINTAI
الكليةالتقنيةبحفرالباطن;Technical College Hafr Al-batin;TECCOLHAFALBAT
الكليةالتقنيةبأبها;Technical College In Abha;TECCOLINABH
الكليةالتقنيةبالباحة;Technical College In Al Baha;TECCOLINALBAH
الكليةالتقنيةبالجوف;Technical College In Al-jouf;TECCOLINALJOU
الكليةالتقنيةبالخرج;Technical College In Al-kharj;TECCOLINALKHA
الكليةالتقنيةبعرعر;Technical College In Arar;TECCOLINARA
الكليةالتقنيةبحائل;Technical College In Hail;TECCOLINHAI
الكليةالتقنيةبجازان;Technical College In Jizan;TECCOLINJIZ
الكليةالتقنيةبالمدينةالمنورة;Technical College In Medina;TECCOLINMED
الكليةالتقنيةبنجران;Technical College In Najran;TECCOLINNAJ
الكليةالتقنيةبتبوك;Technical College In Tabuk;TECCOLINTAB
الكليةالتقنيةبالطائف;Technical College In Taif;TECCOLINTAI
الكليةالتقنيةبالقطيف;Technical College Qatif;TECCOLQAT
الكليةالتقنيةبالزلفي;Technical College Zulfi;TECCOLZUL
التقنيةللغذاءوالبيئةببريدة;Technical For Food And the Environment Buraidah;TECFORFOOANDENVBUR
التقنيةبمكةالمكرمة;Technical Makkah;TECMAK
الحديثالشريفوالدراساتالإسلامية;The Hadith And Islamic Studies;THEHADANDISLSTU
السنةالتحضيريةبالرياض;The Preparatory Year In Riyadh;THEPREYEAINRIY
كليةالغدالدوليةللعلومالطبيةالتطبيقيةبأبها;Tomorrow International College of Applied Medical Sciences In Abha;TOMINTCOLAPPMEDSCIINABH
كليةالغدالدوليةللعلومالطبيةالتطبيقيةبالقصيم;Tomorrow International College of Applied Medical Sciences In Al-qassim;TOMINTCOLAPPMEDSCIINALQAS
كليةالغدالدوليةللعلومالطبيةالتطبيقيةبالدمام;Tomorrow International College of Applied Medical Sciences In Dammam;TOMINTCOLAPPMEDSCIINDAM
كليةالغدالدوليةللعلومالطبيةالتطبيقيةبجدة;Tomorrow International College of Applied Medical Sciences In Jeddah;TOMINTCOLAPPMEDSCIINJED
كليةالغدالدوليةللعلومالطبيةالتطبيقيةبنجران;Tomorrow International College of Applied Medical Sciences In Najran;TOMINTCOLAPPMEDSCIINNAJ
كليةالغدالدوليةللعلومالطبيةالتطبيقيةبالرياض;Tomorrow International College of Applied Medical Sciences In Riyadh;TOMINTCOLAPPMEDSCIINRIY
كليةالغدالدوليةللعلومالطبيةالتطبيقيةبالمدينةالمنورة;Tomorrow International College of Applied Medical Sciences Medina;TOMINTCOLAPPMEDSCIMED
كليةالغدالدوليةللعلومالطبيةالتطبيقيةبتبوك;Tomorrow International College of Applied Medical Sciences Tabuk;TOMINTCOLAPPMEDSCITAB
الإجماليالكلي;Total;TOT
جملة;Total;TOT
إجماليمؤسساتالتعليمالعاليفيالمملكة;Total Higher Education Institutions In the Kingdom;TOTHIGEDUINSINKIN
إجماليمؤسساتالتعليمالعاليالأخرى;Total Other Institutions of Higher Education;TOTOTHINSHIGEDU
إجماليالجامعاتالحكومية;Total Public Universities;TOTPUBUNI
السياحةوالآثار;Tourism And Antiquities;TOUANDANT
السياحةوالفندقةبالمدينةالمنورة;Tourism And Hospitality Medina;TOUANDHOSMED
البرنامجالموحدللكلياتالهندسيةوالعلمية;Unified Program For Colleges of Engineering And Scientific;UNIPROFORCOLENGANDSCI
المركزالجامعيلخدمةالمجتمعوالتعليمالمستمر;University Center For Community Service And Continuing Education;UNICENFORCOMSERANDCONEDU
الكليةالجامعيةبالشملي;University College Bachammla;UNICOLBAC
الكليةالجامعيةبالغزالة;University College Baghazalh;UNICOLBAG
الكليةالجامعيةبالشنان;University College Balhnan;UNICOLBAL
الكليةالجامعيةبالليث;University College Ballit;UNICOLBAL1
الكليةالجامعيةبالسميراء;University College Basameera;UNICOLBAS
الكليةالجامعيةببقعاء;University College Bbakaa;UNICOLBBA
الكليةالجامعيةبأملج;University College Bomlj;UNICOLBOM
الكليةالجامعيةبضباء;University College Daba;UNICOLDAB
الكليةالجامعيةبالوجه;University College Facial;UNICOLFAC
الكليةالجامعيةبحقل;University College Field;UNICOLFIE
الكليةالجامعيةبالقنفذة;University College Jouf;UNICOLJOU
الكليةالجامعيةبالجبيل;University College Jubail;UNICOLJUB
الكليةالجامعيةبالجموم;University College Paljmom;UNICOLPAL
الكليةالجامعيةبتيماء;University College Ptime;UNICOLPTI
الكليةالجامعيةبالحائط;University College Wall;UNICOLWAL
برنامجالإعدادالجامعي;University Setup;UNISET
الطبالبيطريوالثروةالحيوانية;Veterinary Medicine And Animal Resources;VETMEDANDANIRES
كليةينبعالصناعية;Yanbu Industrial College;YANINDCOL
كليةينبعالجامعية;Yanbu University College;YANUNICOL
