ARAB;ENG
فني تمريض;Nursing technician
التغذية وعلوم الأطعمة;Nutrition and Food Science
علوم التغذية وتغذية الإنسان;Nutrition Science and Human Nutrition
تمريض النساء والولادة;Obstetrics and Gynecology Nursing
الطب المهني والصحة المهنية;Occupational medicine and occupational health
هندسة السلامة المهنية;Occupational Safety Engineering
التطبيقات المكتبية وصيانة الحاسب لفئة الصم;Office applications and computer maintenance of the deaf
الإدارة المكتبية;Office Management
تقنية إدارة المكاتب;Office Management Technology
تاريخ قديم;Old history
إدارة العمليات والمعلومات;Operations and Information Management
طب وجراحة العيون;Ophthalmology
صحة الفم والأسنان;Oral and dental health
جراحة الفم والوجه والفكين;Oral and maxillofacial surgery
كيمياء عضوية;Organic chemistry
الكيمياء العضوية;Organic chemistry
تقويم الأسنان;Orthodontics
جراحة العظام;Orthopaedic Surgery
طب إصابات العظام;Orthopedics injuries
علم الأحافير;Paleontology
طب أسنان الأطفال;Pediatric Dentistry
تمريض الأطفال;Pediatric Nursing
طب الأطفال;Pediatrics
مبيدات;Pesticides
هندسة البترول;Petrol Engineering
بترول وترسبات;Petroleum and deposits
الكيمياء التحليلية الصيدلية;Pharmaceutical Analytical Chemistry
العلوم الصيدلية;Pharmaceutical Sciences
الصيدلانيات;Pharmaceutics
علم الأدوية;Pharmacology
عام صيدلية;Pharmacy
الصيدلة;Pharmacy
صيدلة;Pharmacy
فني صيدلة;Pharmacy technician
كيمياء فيزيائية;Physical chemistry
الكيمياء الفيزيائية;Physical Chemistry
التربية البدنية;Physical education
التربية الرياضية وعلوم الحركة;Physical Education and Movement Sciences
التربية البدنية مع إعداد تربوي;Physical education with educational preparation
جغرافيا طبيعية;Physical geography
الطب الطبيعي وإعادة التأهيل;Physical Medicine and Rehabilitation
تربية بدنية;Physical training
الفيزياء;Physics
فيزياء;Physics
علم وظائف الأعضاء;Physiology
وظائف الأعضاء;Physiology
علاج طبيعي;Physiotherapy
العلاج الطبيعي والتأهيل الصحي;Physiotherapy and Rehabilitation
نبات;Plant
علوم وقاية النبات;Plant Protection Sciences
جراحة التجميل;Plastic surgery
العلوم السياسية;Political Science
إنتاج الدواجن;Poultry production
إنتاج دواجن;Poultry production
علوم الدواجن;Poultry Science
تقنية هندسة  الآلات الدقيقة;Precision Machinery Engineering Technology
تقنية هندسة الالات الدقيقة والتحكم;Precision Machining Technology and Control Engineering
تقنية هندسة الآلات الدقيقة والتحكم;Precision Machining Technology Engineering and Control
صيدلة عام;Precision year
تمهيدي كلية المجتمع بجدة;Preliminary Jeddah Community College
إعداد العلوم الطبيعية;Preparation of Natural Sciences
برنامج تحضيري اقتصاد وإدارة;Preparatory program Economics and Management
تحضيري معاهد علمية;Preparatory scientific institutes
سنة تحضيرية;Preparatory year
السنة التحضيرية - علمي;Preparatory Year - a scientific
السنة التحضيرية - مسار الكليات العلمية;Preparatory Year - the path of scientific colleges
السنة التحضيرية  - مسار الكليات العلمية (الهندسة-الحاسب الالي-العلوم التطبيقية);Preparatory Year - the path of scientific colleges (Engineering-Computer-Applied Science)
السنة التحضيرية - مسار الكليات العلمية (الهندسة-الحاسب الآلي-العلوم التطبيقية);Preparatory Year - the path of scientific colleges (Engineering-Computer-Applied Science)
السنة التحضيرية - مسار الكليات الطبية;Preparatory Year - track medical colleges
السنة التحضيرية المسائية لكلية العلوم الادارية والسياحة;Preparatory Year evening of the College of Administrative Sciences and Tourism
السنة التحضيرية للكليات الهندسية والعملية;Preparatory year for colleges of engineering and process
السنة التحضيرية للعلوم الإدارية;Preparatory Year for Management Sciences
السنة التحضيرية للكليات الصحية;Preparatory Year Health Colleges
السنة التحضيرية لكلية العلوم الإدارية والسياحة;Preparatory Year of College of Administrative Sciences and Tourism
الصحافة;Press
صحافة;Press
صحافة وإعلام;Press and Media
طب الأسنان الوقائي;Preventive Dentistry
تعليم إبتدائي;Primary education
التعليم الإبتدائي لغة العربية;Primary education Arabic language
التعليم الإبتدائي لغة عربية;Primary education Arabic language
مناهج التعليم الإبتدائي;Primary education curriculum
التعليم الإبتدائي دراسات إسلامية;Primary education Islamic Studies
التعليم الإبتدائي رياضيات;Primary Mathematics Education
الفقه وأصوله;Principles of Fiqh
انتاج;Produce
إنتاج;Produce
الإنتاج وتصميم النظم;Production and design systems
هندسة الإنتاج;Production Engineering
المحاسبة المهنية;Professional Accounting
المحاسبة المهنية ;Professional Accounting
البرمجة وقواعد البيانات;Programming and databases
برمجة وتشغيل الحاسبات;Programming and operation of Computing
برمجة علوم الحاسب;Programming Computer Science
تقنية البرمجة;Programming Technology
إدارة مشاريع;Project Management
تمريض الصحة النفسية والعقلية;Psychiatric and mental health nursing
الطب النفسي;Psychiatry
الطب النفسي للأطفال و المراهقين;Psychiatry for children and teens
الإرشاد النفسي;Psychological guidance
الصحة النفسية;Psychological health
علم النفس;Psychology
علم النفس - النمو;Psychology - Growth
علوم النفس - قياس وتقويم;Psychology - measurement and evaluation of Sciences
عام;Public
أصول التربية الإسلامية العامة;Public assets of Islamic Education
الصحة العامة;Public Health
القانون العام;Public Law
العلاقات العامة ;Public Relations
علاقات عامة;Public relations
الرياضيات البحتة;Pure Mathematics
رياضيات بحتة ـ تحليل;Purely analysis Mathematics
السنة التحضيرية;PY
السنة التحضيرية للكليات الإنسانية;PY humanitarian faculties
السنة التحضيرية ادبي;PY literary
السنة التحضيرية للكليات العلمية;PY science faculties
تأهيلية;Qualification
رقابة النوعية للمستحضرات الصيدلية;Quality control of pharmaceuticals
القرآن وعلومه;Quran and its Sciences
الكتاب والسنة;Quran and Sunnah
العلوم الإشعاعية;Radiological Sciences
طب الأشعة;Radiology
القراءات ;Readings
التطوير العقاري;Real Estate Development
أصول الدين;Religion Basics
الرعاية التنفسية;Respiratory care
العناية التنفسية;Respiratory Care
الأمراض الصدرية لدى الأطفال;Respiratory diseases in children
العلاج التنفسي;Respiratory Therapy
البلاغة والنقد;Rhetoric and criticism
البلاغة والنقد - بريدة;Rhetoric and criticism - Buraidah
الحقوق;Rights
تقنية السلامة ;Safety Technology
المبيعات;Sales
إدارة المبيعات;Sales Administration
التسويق والمبيعات;Sales and marketing
العلوم;Science
علوم وهندسة الحاسب الآلي;Science and Computer Engineering
علوم وإدارة موارد المياه;Science and management of water resources
العلوم في المحاسبة;Science in Accounting
العلوم في الأقتصاد;Science in Economics
العلوم في المالية ;Science in Finance
العلوم في هندسة المواد;Science in Materials Engineering
العلوم في البصريات;Science in optics
العلوم في علم البوليمرات;Science in polymers
العلوم في الطاقة المتجددة;Science in Renewable Energy
العلوم في البساتين;Science in the orchards
العلوم في التصميم العمراني;Science in Urban Design
علوم المختبرات اللإكلينيكية;Science laboratories Allakleniecah
البرامج العلمية;Scientific programs
عام علمية;Scientific year
الأمن وضمان المعلومات;Security and ensure information
الشريعة;Sharia
الشريعة والدراسات الإسلامية;Sharia and Islamic Studies
علم النفس الاجتماعي والصناعي;Social science and industrial psychology
البحث الاجتماعي;Social Search
الخدمة الاجتماعية;Social Service
خدمة اجتماعية;Social service
الدراسات الاجتماعية;Social Studies
علم اجتماع;Sociology
علم الأجتماع;Sociology
علم الاجتماع;Sociology
الاجتماع والخدمة الاجتماعية;Sociology and Social Service
علم الاجتماع والخدمة الاجتماعية;Sociology and Social Work
برمجيات;Software
هندسة البرمجيات;Software Engineering
هندسة برمجيات;Software Engineering
علوم التربة;Soil Science
ميكانيكا الجوامد;Solid Mechanics
فيزياء الجوامد;Solid state physics
تربية خاصة;Special breeding
التربية الخاصة;Special Education
علوم النطق واللغة والسمع;Speech-Language and Hearing Sciences
الإدارة الرياضية;Sports Management
الإحصاء;Statistics
إحصاءات وبحوث - علم نفس;Statistics and Research - Psychology
هندسة قوي ومحركات;Strong engineering and engines
الكفاية في اللغة العربية لغير الناطقين بها;Sufficiently in the Arabic language to non-native speakers
الإستعاضة السنية ;Sunni replaced
البرنامج التكميلي لبكالوريوس التمريض;Supplementary program for the Bachelor of Nursing
تكميلي العلوم في الرياضيات;Supplementary Science in Mathematics
إدارة سلسلة التوريد;Supply chain management
التمريض الجراحي والباطني;Surgical Nursing and Internal
أنظمة;Systems
الأنظمة;Systems
تحليل وتصميم النظم;Systems Analysis and Design
هندسة النظم;Systems Engineering
تعليم اللغة العربية;Teach Arabic
تعليم اللغة العربية لغير الناطقين بها;Teaching Arabic language to non-native speakers
تعليم اللغة الإنجليزية للناطقين بلغات أخرى;Teaching English to Speakers of Other Languages
تعليم اللغة الانجليزية للناطقين بغيرها;Teaching English to Speakers of Other Languages
طرق تدريس تربية فنية;Teaching Methods of Art Education
طرق تدريس التربية الفنية;Teaching Methods of Art Education
التشريح التقني والأنسجة;Technical and tissue anatomy
فني معماري ;Technical architect
فني معماري;Technical architect
الدعم الفني;Technical support
الاشغال الفنية;Technical Works
فني سكرتارية طبية;Technician Medical Secretary
تقنية هندسة التكييف والتبريد;Technology air conditioning and refrigeration engineering
تقنية وإدارة المعلومات الصحية;Technology and health information management
تقنية وإدارة مكاتب;Technology and management offices
تقنية الهندسة الكيميائية;Technology Chemical Engineering
تقنية الهندسة الكهربائية والإلكترونية;Technology Electrical and Electronic Engineering
تقنية مختبرات;Technology Labs
تقنية تشغيل العمليات والتحاليل الكيميائية;Technology running processes and chemical analysis
اختبارات ومقاييس;Tests and measurements
النظام الجنائي;The criminal justice system
الإدارة العامة;The general Administration
القضاء والسياسة الشرعية;The judiciary and the political legitimacy
فقه السنة ومصادرها;The jurisprudence of the year and sources
القران الكريم والدراسات الإسلامية;The Koran and Islamic Studies
اللغة;The language
علم نفس التعلم;The psychology of learning
علاج أمراض اللثة;The treatment of gum disease
علاج أمراض اللثة وزراعة الأسنان;The treatment of gum disease and dental implants
الهندسة الحرارية;Thermal Engineering
جملة;Total
سياحة وفنادق;Tourism and Hotels
السياحة والسفر;Tourism and Travel
السموم;Toxins
تدريب معلمي اللغة العربية لغير الناطقين بها;Training Arabic language teachers for non-native speakers
ترجمة;Translation
الترجمة;Translation
البرنامج الموحد للكلية الصحية;Unified health program for the College
البرنامج الموحد للكليات الهندسية والعلمية;Unified program for colleges of engineering and scientific
 التخطيط الحضري والإقليمي;Urban and Regional Planning
التخطيط العمراني والإقليمي;Urban and Regional Planning
التخطيط الحضري والإقليمي;Urban and Regional Planning
جراحة المسالك البولية;Urology
الطب البيطري;Veterinary Medicine
الطب البيطري - التشريح;Veterinary Medicine - Anatomy
الطب البيطري - الولادة والتناسليات;Veterinary Medicine - birth and Altanasliat
الطب البيطري - الأدوية والعلاج;Veterinary medicine - drugs and treatment
عام الطب البيطري والثروة الحيوانية;Veterinary medicine and livestock
الصحة العامة البيطرية ورعاية الحيوان;Veterinary public health and animal welfare
الإنتاج المرئي والرقمي;Visual and digital production
الاعاقة البصرية;Visual disability
العوق البصري;Visual handicap
الإعاقة البصرية;Visual impairment
هندسة حيوية طبية;Vitality Medical Engineering
إدارة مستودعات;Warehouse management
إدارة  مستودعات;Warehouse management
علم الحشرات;world of insects
الأشعة;X
السنة وعلومها ;Year and sciences
السنة وعلومها;Year and sciences
عام العلوم في هندسة الحاسب;Year of Science in Computer Engineering
سنة تحضيرية إداري;Year preparatory administrative
سنة تحضيرية للكليات الصحية ;Year preparatory Health Colleges
سنة تحضيرية تقني;Year preparatory technical
السنة التأهيلية المسائية - علوم تطبيقية;Year rehabilitative evening - Applied Sciences
السنة التأهيلية المسائية - اللغة العربية;Year rehabilitative evening - Arabic Language
السنة التأهيلية المسائية - الدعوة وأصول الدين;Year rehabilitative evening - Dawa and Fundamentals of Religion
السنة التأهيلية المسائية - التربية;Year rehabilitative evening - Education
السنة التأهيلية المسائية - الشريعة;Year rehabilitative evening - Sharia
السنة التأهيلية المسائية - العلوم الاجتماعية;Year rehabilitative evening - Social Sciences
السنة التأهيلية المسائية - الكلية الجامعية بالقنفذة;Year rehabilitative evening - university Jouf College
علم الحيوان;Zoology
